Gene	GEO_Tau	GEO_FC	GTEx_Tau	GTEx_FC	TCGA_Tau	TCGA_FC
ENSG00000178764	13.450685039181792	1.1313349792085	17.545561841363938	1.1455461219849414	9.13843408408839	1.0141323424770878
ENSG00000174306	14.926324075200135	1.2204400108680529	13.396241762921447	1.0160245508407588	14.819284031811817	1.1835764545272165
ENSG00000152977	20.789709051589053	3.7947043687113933	25.89719776661364	4.424049009240944	17.947943375764506	1.3100163211522662
ENSG00000043355	18.175598213287277	1.1139747140793612	25.82432779676818	3.4483398031002794	12.865690576943436	1.0450561537420158
ENSG00000156925	19.406840872771483	1.2108704707198301	25.709791420225326	3.4658417813179088	19.750698245817876	2.8873966243238067
ENSG00000174963	20.68366917048871	5.519599174601256	25.86925219162312	9.513806929712016	16.86953389998215	1.2069832644505938
ENSG00000139800	16.512272376780043	1.0121861786946427	25.46612223820423	1.628091955393998	12.64551689393005	1.0325734297836138
ENSG00000171649	15.56836424454825	1.1176816616492709	14.590492742152122	1.0210673905176952	14.586026243629968	1.210873878987146
ENSG00000269699	19.32466758054222	1.391302612866536	25.074477628577732	1.6814993273408438	15.62300828054251	1.1581898776008657
ENSG00000141946	12.3057408388173	1.0368013156595761	25.679751992814317	36.64550486409217	14.796295404205381	1.1736958252340601
ENSG00000106261	8.446491739254082	1.001572558185444	19.22327913375021	1.1746675290742168	8.92562067442477	1.0117535162557525
ENSG00000155592	13.25825862459745	1.140349649702472	14.995477698797766	1.0038704324973786	7.780093155557525	1.0038614439812747
ENSG00000189298	8.501789294446624	1.0646827031916517	7.837723088407608	1.0341113112793903	6.759602196287852	1.0402840366216035
ENSG00000187626	12.58281042766992	1.187882087830275	15.99240328550945	1.0556533461195365	7.1358810985878645	1.0022238828278123
ENSG00000196652	8.702253666889753	1.0937222231159929	10.20636074375981	1.0199700770957991	7.89334639908122	1.0125116856477292
ENSG00000196345	12.758990088679486	1.0679698176500547	13.888697543093265	1.003302945935635	8.455023225997763	1.0306765996143565
ENSG00000198315	8.06437025629879	1.0446396240635167	8.685859661069207	1.000370383863306	9.230699071307932	1.0783744051528412
ENSG00000166432	16.72467602459382	1.139939203079745	19.3390111914483	1.045409384405944	13.264373583565245	1.03696559004716
ENSG00000146007	8.010396115315363	1.0009077458223943	16.732813928589792	1.0691655488779037	7.600487172139933	1.0299020177590283
