Gene	CV	Exp_Sum
ENSG00000000003	1.51494835833146	272212.8225
ENSG00000000005	5.66504804289717	82793.0597
ENSG00000000419	0.719940761755096	277507.0938
ENSG00000000457	1.29888615963659	79648.505
ENSG00000000460	1.44995742239427	55986.3199
ENSG00000000938	1.63097356529946	2671012.8645
ENSG00000000971	2.21457974356387	1662041.6069
ENSG00000001036	1.02925584889601	596531.9414
ENSG00000001084	1.4027381620384	389965.4914
ENSG00000001167	0.744103615497519	136129.2552
ENSG00000001460	1.1676964451635	27135.8975
ENSG00000001461	3.76719525210346	160170.6734
ENSG00000001497	1.24311930325008	149230.8037
ENSG00000001561	1.41360644467014	97138.5574
ENSG00000001617	3.32193134049298	100242.6817
ENSG00000001626	9.33000962419057	27517.3695
ENSG00000001629	0.880255627259867	151666.7762
ENSG00000001630	1.59522354303603	723677.2933
ENSG00000001631	0.748939533035759	128737.38
ENSG00000002016	0.796590298732024	75154.7071
ENSG00000002330	9.68247369793002	684299.4975
ENSG00000002549	30.5630104736807	6700946.93
ENSG00000002586	8.57914080737361	3941583.8431
ENSG00000002587	3.34720909309636	12670.1755
ENSG00000002726	9.75961600345938	51999.9305
ENSG00000002745	7.84617040193297	9026.7413
ENSG00000002746	3.99736643789264	7212.5467
ENSG00000002822	1.1383357966885	265492.7899
ENSG00000002834	1.07527845998387	1735089.2228
ENSG00000002919	1.09117534431773	298407.8311
ENSG00000002933	2.12070355491831	1601787.2057
ENSG00000003056	0.785520809372122	1336932.552
ENSG00000003096	3.0848640715419	27220.2634
ENSG00000003137	3.19421088409093	34615.0884
ENSG00000003147	1.45014538696724	120112.5276
ENSG00000003249	2.12933999521361	91821.713
ENSG00000003393	0.907678231587291	93848.9213
ENSG00000003400	1.42252434931859	141809.1144
ENSG00000003402	1.12989549531838	529850.2107
ENSG00000003436	1.75297645193708	297174.747
ENSG00000003509	0.694723570101173	120902.9518
ENSG00000003756	0.790861906367664	652055.9476
ENSG00000003987	2.01044790961382	18059.3394
ENSG00000003989	2.29717133890745	424528.1692
ENSG00000004059	0.875990907594314	1735850.0174
ENSG00000004139	0.867180848708105	40218.2225
ENSG00000004142	2.67916652223739	1133414.3646
ENSG00000004399	1.13447429868452	248092.3928
ENSG00000004455	1.02434409251045	481214.7594
ENSG00000004468	3.88131293944917	104054.5947
ENSG00000004478	2.04717915014776	689561.1093
ENSG00000004487	0.815305222109242	297665.8326
ENSG00000004534	5.40134048391528	535530.8869
ENSG00000004660	1.31202592592101	93782.2868
ENSG00000004700	1.01437927107105	249668.3838
ENSG00000004766	0.846761546381513	80203.8373
ENSG00000004776	3.96799371554576	582465.9085
ENSG00000004777	1.52951440232707	46092.628
ENSG00000004779	1.44482898428604	1434065.3779
ENSG00000004799	2.27117480093282	770157.2417
ENSG00000004809	6.14001897582348	19297.4712
ENSG00000004838	6.35845118010053	32002.4573
ENSG00000004846	10.576231739861	4175.7784
ENSG00000004848	5.84426170194553	5076.9833
ENSG00000004864	1.46553199556439	388699.9948
ENSG00000004866	2.83697728207954	204901.8299
ENSG00000004897	0.874629454255287	273288.7945
ENSG00000004939	5.37340779769488	538973.1416
ENSG00000004948	7.12254988510373	1725.1777
ENSG00000004961	0.876703762790275	221134.4699
ENSG00000004975	0.893221164803553	193690.0627
ENSG00000005001	5.63633178397219	52246.6413
ENSG00000005007	0.867844629400023	479659.8376
ENSG00000005020	1.10452374258039	379495.361
ENSG00000005022	1.37290341869769	4468737.8603
ENSG00000005059	1.75143499568191	352104.0318
