Gene	FC
ENSG00000173627	21.171670489250324
ENSG00000011566	2.361581121746225
ENSG00000133315	8.744766066151394
ENSG00000149564	3.219326637040041
ENSG00000160688	1.5613041021848224
ENSG00000187189	3.7652713307520362
ENSG00000168631	23.582296017972833
ENSG00000182600	7.08704155380498
ENSG00000118689	3.539717242315229
ENSG00000152455	3.6086917715915754
ENSG00000189376	1.8706643927835205
ENSG00000196666	8.187827991699175
ENSG00000273820	3.1826767888410084
ENSG00000186212	6.544277914024708
ENSG00000134873	16.07436546461854
ENSG00000184221	24.667259626884142
ENSG00000171433	6.415564644023279
ENSG00000105717	7.777865922560841
ENSG00000266967	7.963385732221567
ENSG00000198791	2.2328373368390007
ENSG00000205777	25.698263878663997
ENSG00000100027	9.625528309978964
ENSG00000265190	7.650062224632399
ENSG00000137094	6.256299140719826
ENSG00000171102	13.350112332990902
ENSG00000109689	1.7411069873329654
ENSG00000183486	11.498692945237147
ENSG00000262165	5.169505920368035
ENSG00000164024	1.6278881375825933
ENSG00000142530	18.328447495686653
ENSG00000137547	5.1576145952569625
ENSG00000115207	1.3849796100659093
ENSG00000142892	2.0676390668296176
ENSG00000180433	4.690522955907583
ENSG00000198270	2.2716733054622944
ENSG00000155158	2.6834627632763666
ENSG00000164087	3.674511378506854
ENSG00000034693	3.6586787885561005
ENSG00000112658	1.9159803934751232
ENSG00000047849	5.283812181183348
ENSG00000144331	3.425127528844608
ENSG00000091106	18.824262053377865
ENSG00000140519	13.349311107765443
ENSG00000110448	11.062835963277703
ENSG00000146278	3.34061916385296
ENSG00000273841	2.16941320733448
ENSG00000173926	3.2296356439313567
ENSG00000176102	1.7987752399065136
ENSG00000120942	2.2976508388126504
ENSG00000204595	4.223101523317797
ENSG00000188095	3.369315218376013
ENSG00000197771	2.0982870562190885
ENSG00000173272	2.6445832856384257
ENSG00000179588	3.870647864160397
ENSG00000109103	5.2616965904657915
ENSG00000142082	1.8012245805420033
ENSG00000165434	3.673118216389928
ENSG00000170775	12.727409392253454
ENSG00000138386	1.7311928136339982
ENSG00000255298	19.531202047899892
ENSG00000125900	23.14454520442451
ENSG00000118961	2.360506570465699
ENSG00000165675	2.3325156349916023
ENSG00000149809	7.712481014892034
ENSG00000146872	2.121636794866057
ENSG00000144283	5.3843440200027555
ENSG00000125787	3.608615241027619
ENSG00000063978	1.8342536531627507
ENSG00000156384	2.2076267290240064
ENSG00000077238	5.901640121043485
ENSG00000198914	13.250900418510255
ENSG00000144895	2.024266719525651
ENSG00000204947	2.0411174895351114
ENSG00000131381	1.8404027297552945
ENSG00000180953	13.04522774018867
ENSG00000229292	15.398146555109625
ENSG00000132972	23.966446068843528
ENSG00000134917	11.529213645842523
ENSG00000127540	4.454632401852367
ENSG00000159648	11.235860054456477
ENSG00000186812	1.4132667836842923
ENSG00000124920	7.747443668228095
ENSG00000139438	3.5999313448518757
ENSG00000165623	10.880966848757952
ENSG00000163347	9.092055211122354
ENSG00000152137	9.169612226674246
ENSG00000168282	2.1641779856108627
ENSG00000132004	2.2158075736792524
ENSG00000111707	1.2739953760800042
ENSG00000159251	25.684808576892685
ENSG00000123570	3.3949886192247782
ENSG00000263639	25.906938950747477
ENSG00000092871	3.114661310952403
ENSG00000206052	9.165558153024532
ENSG00000130816	1.8325736118768674
ENSG00000123569	21.882595264635047
ENSG00000019144	2.8141912329376932
ENSG00000239857	2.5501751926640708
ENSG00000145428	7.884800644503912
ENSG00000146066	3.4147442924704032
ENSG00000150687	3.9393483340155955
ENSG00000186523	3.5975683611122107
ENSG00000106780	6.798051894600019
ENSG00000119421	5.172106316055903
ENSG00000214357	1.9548015936811316
ENSG00000110455	1.8557600344582919
ENSG00000165264	3.397614364281622
ENSG00000165025	8.829126682434314
ENSG00000170836	1.7557660337034897
ENSG00000233757	3.117577855391444
ENSG00000124251	8.893556964038025
ENSG00000075539	2.1012462921625863
ENSG00000088854	2.9750442634862395
ENSG00000114978	3.705668727203922
ENSG00000164304	22.78242849432244
ENSG00000125046	11.044031118875486
ENSG00000143171	8.573583905021959
ENSG00000119431	4.939077580126969
ENSG00000203667	2.710519059027032
ENSG00000139428	4.698681505230275
ENSG00000165995	3.1137699963816243
ENSG00000197971	23.093300230134812
ENSG00000197162	1.493363742333832
ENSG00000157259	1.5514943570435697
ENSG00000184384	2.2096756668321995
ENSG00000181585	7.704774784085326
ENSG00000183246	23.13918868914454
ENSG00000067606	4.836465840372743
ENSG00000146776	2.1266193472842394
ENSG00000127564	9.183222108958367
ENSG00000177119	2.6177253044343374
ENSG00000012124	8.493235830056635
ENSG00000131732	2.0297285747355955
ENSG00000115211	1.789292185320307
ENSG00000169330	13.048464563802666
ENSG00000104848	25.389158424930198
ENSG00000132589	10.047781673300289
ENSG00000244617	20.431964244732683
ENSG00000204071	10.612380645806867
ENSG00000106261	3.471900363195155
ENSG00000205085	7.992896497629477
ENSG00000011021	1.5973256319199831
ENSG00000198466	1.9224824667016638
ENSG00000080511	15.128583865023128
ENSG00000169181	10.52188192755523
ENSG00000100116	5.8900968661958535
ENSG00000167384	1.2351692870133382
ENSG00000043039	8.7964870369182
ENSG00000143013	2.8936895482506144
ENSG00000008838	2.6432373245323912
ENSG00000159128	5.422535077577894
ENSG00000057757	2.3859155669141123
ENSG00000183668	5.014421691511675
ENSG00000179172	2.4600629878698377
ENSG00000186472	7.303291701526433
ENSG00000168070	19.37530234156928
ENSG00000124225	6.01558513958819
ENSG00000166897	15.947375219269464
ENSG00000127603	3.2825056592065622
ENSG00000176623	2.6249204339522776
ENSG00000115423	5.560889760839648
ENSG00000107960	1.6343823030609568
ENSG00000168216	1.824853640475284
ENSG00000163792	19.081165994341923
ENSG00000206069	10.103717787259685
ENSG00000164035	4.653900953939683
ENSG00000143556	15.7543625804258
ENSG00000168758	3.524862486706425
ENSG00000206072	14.448086695015274
ENSG00000105556	1.5887131502538043
ENSG00000182771	7.407196018187021
ENSG00000236396	20.259867691890317
ENSG00000184351	25.32317136390713
ENSG00000132017	2.541320218549402
ENSG00000164109	2.746603553368864
ENSG00000153561	3.801144252425498
ENSG00000182346	15.46672499490904
ENSG00000104899	6.980985740236026
ENSG00000111424	3.6167686048136405
ENSG00000123154	1.7166552149270666
ENSG00000069188	6.181881747059788
ENSG00000230124	1.414521227107358
ENSG00000118096	1.635237982736626
ENSG00000188487	9.526352279300278
ENSG00000155744	4.287882158633814
ENSG00000226430	4.096340231718241
ENSG00000100605	3.171002098936054
ENSG00000032389	2.02743257831744
ENSG00000170017	3.0349659207015316
ENSG00000183018	2.9544915608283153
ENSG00000117600	8.05303739788399
ENSG00000075303	3.151502818181157
ENSG00000162782	13.575480267613841
ENSG00000135436	19.352681361417165
ENSG00000149548	6.013269605644312
ENSG00000212722	26.751311747306737
ENSG00000171148	2.6544594883037016
ENSG00000249581	9.46476668566981
ENSG00000118985	2.967051015661572
ENSG00000183876	3.8758980595547237
ENSG00000110628	5.3381912262438345
ENSG00000142330	1.930115248315897
ENSG00000112977	3.1557008112515352
ENSG00000106992	11.404765997515932
ENSG00000162039	23.76936461463614
ENSG00000125347	7.2663858678059405
ENSG00000231924	12.967486046323215
ENSG00000146276	8.167763336482926
ENSG00000100485	3.376505582499991
ENSG00000087274	1.6581310218107739
ENSG00000128271	10.793127282867541
ENSG00000132837	14.044157361584057
ENSG00000078246	2.1471884322519443
ENSG00000169490	1.6527893819169828
ENSG00000138614	1.2820539553713755
ENSG00000148356	1.5946985287647548
ENSG00000110429	1.8052508843428332
ENSG00000222011	1.9775645224144283
ENSG00000173065	4.1592649115273845
ENSG00000240386	26.3443685131618
ENSG00000131470	3.458179788093352
ENSG00000142512	11.648444765557207
ENSG00000019485	1.926133063271898
ENSG00000176194	13.124425430801415
ENSG00000160868	19.78156286838298
ENSG00000138821	5.618819211001773
ENSG00000077312	1.6238467101563911
ENSG00000122490	3.9051386082998043
ENSG00000140955	24.35963945740131
ENSG00000242689	23.641379666894277
ENSG00000182934	3.520504664078752
ENSG00000105520	5.5546536525922905
ENSG00000113761	1.5774263923429024
ENSG00000116017	8.069208822049406
ENSG00000088451	3.3667058843839923
ENSG00000107290	1.8978365769071217
ENSG00000134007	13.670117241907658
ENSG00000129003	2.2134487412715185
ENSG00000183963	3.4623712671461484
ENSG00000169403	15.259071855074168
ENSG00000101608	5.182438425174845
ENSG00000165733	2.2051965849189368
ENSG00000198841	1.768666447456234
ENSG00000212127	1.8848486532202113
ENSG00000212864	6.795696089405003
ENSG00000054267	1.3307320250571397
ENSG00000179144	4.128046643452527
ENSG00000166803	3.864011751854594
ENSG00000162714	1.8552665621464068
ENSG00000144791	2.442277488635465
ENSG00000142657	10.307699970697934
ENSG00000176009	3.4848936454103745
ENSG00000162849	4.8163649438050635
ENSG00000205857	21.135991017962834
ENSG00000133961	4.033152868359379
ENSG00000184445	3.220015384676993
ENSG00000113810	2.3409820948581332
ENSG00000078618	4.316125084425665
ENSG00000198369	1.8635426172093121
ENSG00000197948	3.061476803831263
ENSG00000089818	2.6789644788972433
ENSG00000181273	24.291942409532794
ENSG00000167393	5.963033964578396
ENSG00000164828	1.7054990742090061
ENSG00000164896	2.664837855652074
ENSG00000007038	15.917572859999208
ENSG00000119979	2.621292727406603
ENSG00000137814	1.4923826575579309
ENSG00000143337	1.8444007816337626
ENSG00000167987	1.9111004545872874
ENSG00000168710	3.4195335059011613
ENSG00000196652	1.6077515771316402
ENSG00000112249	2.03849466975293
ENSG00000138792	6.738568825610484
ENSG00000188234	1.7744782498479232
ENSG00000257115	3.1105353821367667
ENSG00000168395	1.5418192150120158
ENSG00000175040	3.0229208029609516
ENSG00000037474	1.8613223887379773
ENSG00000179071	18.60801507175297
ENSG00000082701	1.929500401109139
ENSG00000267467	26.959250242326075
ENSG00000035499	4.2494011043630575
ENSG00000118257	3.2930585823934795
ENSG00000129682	7.668635802645786
ENSG00000198105	2.1598864902175507
ENSG00000120217	5.441865416907698
ENSG00000168522	1.5443288233180745
ENSG00000137876	1.6689874814223604
