Gene	FC
ENSG00000000003	2.781499560026551
ENSG00000000005	5.131461899894218
ENSG00000000419	1.595406372802631
ENSG00000000457	1.835924901021114
ENSG00000000460	1.6614295390341864
ENSG00000000938	7.056649118856986
ENSG00000000971	12.86854047738042
ENSG00000001036	2.088865090510632
ENSG00000001084	2.7173130545001936
ENSG00000001167	1.487567912950229
ENSG00000001460	2.06869557656639
ENSG00000001461	2.8989643903871714
ENSG00000001497	1.793758053655354
ENSG00000001561	2.043315590606894
ENSG00000001617	3.0626072057819496
ENSG00000001626	7.8680323023245515
ENSG00000001629	1.9764022749690313
ENSG00000001630	2.5119303325633076
ENSG00000001631	1.3267861009316906
ENSG00000002016	2.3777041921182303
ENSG00000002330	1.5090085661926695
ENSG00000002549	2.2687281553337466
ENSG00000002586	3.7139710620989512
ENSG00000002587	2.6318492506485995
ENSG00000002726	4.583008724765216
ENSG00000002745	3.0245574580597343
ENSG00000002746	5.316979335099481
ENSG00000002822	8.835991372935847
ENSG00000002834	1.4719271332281483
ENSG00000002919	3.0199674339393283
ENSG00000002933	9.671223950283434
ENSG00000003056	1.91983595357183
ENSG00000003096	5.4866390755332946
ENSG00000003137	6.975089978982504
ENSG00000003147	2.549609317917917
ENSG00000003249	3.178223709884862
ENSG00000003393	1.4611384943428973
ENSG00000003400	2.857892285185834
ENSG00000003402	1.9654305216999617
ENSG00000003436	6.934425217867313
ENSG00000003509	1.7850428975419528
ENSG00000003756	1.8121240260104106
ENSG00000003987	2.8568303367537595
ENSG00000003989	5.253204587905852
ENSG00000004059	1.4444039129363244
ENSG00000004139	2.2392208225541124
ENSG00000004142	2.819346940106965
ENSG00000004399	1.6857845892797132
ENSG00000004455	1.6304649793029837
ENSG00000004468	4.865206211907226
ENSG00000004478	3.7326660764818156
ENSG00000004487	1.7343110876504857
ENSG00000004534	1.6632995730283613
ENSG00000004660	3.1836257647190287
ENSG00000004700	1.723075095404555
ENSG00000004766	1.4920738905030655
ENSG00000004776	7.050449803836942
ENSG00000004777	2.937703979910522
ENSG00000004779	2.574889905481526
ENSG00000004799	4.4752852023427945
ENSG00000004809	12.98926963398709
ENSG00000004838	5.257990763914645
ENSG00000004846	16.93145726662749
ENSG00000004848	3.0523463661735164
ENSG00000004864	3.9634004664681304
ENSG00000004866	2.0599620661553035
ENSG00000004897	1.8822364389760717
ENSG00000004939	16.331520521378323
ENSG00000004948	7.967015217029604
ENSG00000004961	1.6130340775305765
ENSG00000004975	1.996167859956474
ENSG00000005001	3.2991233334096846
ENSG00000005007	1.4529768565440946
ENSG00000005020	2.5597834484883877
ENSG00000005022	2.177246604350265
ENSG00000005059	3.1646407872871998
ENSG00000005073	3.455442595837944
ENSG00000005075	1.5674325453390905
ENSG00000005100	2.9250257937122313
ENSG00000005102	3.6551515101293743
ENSG00000005108	4.249292312568264
ENSG00000005156	1.7896696289331975
ENSG00000005175	1.8896491541840468
ENSG00000005187	2.849906221143187
ENSG00000005189	2.0411055426414224
ENSG00000005194	1.5124111860607659
ENSG00000005206	1.5990573077594181
ENSG00000005238	2.124586219158293
ENSG00000005243	2.3852242014983487
ENSG00000005249	3.669063447297697
ENSG00000005302	2.6969982459532074
ENSG00000005339	1.8793858998679167
ENSG00000005379	4.0111818160808
ENSG00000005381	20.827739153326547
ENSG00000005421	19.65619191809044
ENSG00000005436	1.506109152844993
ENSG00000005448	1.6308026610843387
ENSG00000005469	2.7870288990445733
ENSG00000005471	14.81793600066389
ENSG00000005483	2.3965903363175025
ENSG00000005486	3.69425980059357
ENSG00000005513	17.33032829892022
ENSG00000005700	1.721531372423311
ENSG00000005801	1.3452439323845475
ENSG00000005810	2.2879127821792413
ENSG00000005812	1.6081904795934676
ENSG00000005844	4.02916351168372
ENSG00000005882	2.049374613884081
ENSG00000005884	2.493048516935003
ENSG00000005889	1.8263180555245777
ENSG00000005893	2.4807162528244984
ENSG00000005961	12.459382960590125
ENSG00000005981	12.282808654349997
ENSG00000006007	1.5631106763070495
ENSG00000006015	1.9062612781218482
ENSG00000006016	4.496643427303621
ENSG00000006025	1.7160321827835967
ENSG00000006042	2.2426864765003116
ENSG00000006047	3.2406339178303605
ENSG00000006059	11.129781327715323
ENSG00000006062	2.3255526935699002
ENSG00000006071	8.257330586020506
ENSG00000006116	11.726717180852592
ENSG00000006118	2.5872386910173257
ENSG00000006125	1.7025320700558038
ENSG00000006128	11.788776119793702
ENSG00000006194	2.087832329413338
ENSG00000006210	2.7068062429569877
ENSG00000006282	1.7759309306486992
ENSG00000006283	4.331836197874234
ENSG00000006327	1.9672537508873051
ENSG00000006377	9.003985967948063
ENSG00000006432	2.0186208285828116
ENSG00000006451	1.4737633891744808
ENSG00000006453	2.120101653830615
ENSG00000006459	1.9510719904096172
ENSG00000006468	6.773399858090763
ENSG00000006530	1.5162164371135733
ENSG00000006534	2.312254087293714
ENSG00000006555	3.5440587694908876
ENSG00000006576	3.660076382168418
ENSG00000006606	9.315981439440337
ENSG00000006607	3.91604556378458
ENSG00000006611	5.652690435041101
ENSG00000006625	1.998354030916149
ENSG00000006634	2.258867996330296
ENSG00000006638	3.41404058729674
ENSG00000006652	3.762459079361054
ENSG00000006659	16.272024811307215
ENSG00000006695	1.435672070521134
ENSG00000006704	1.912740058226451
ENSG00000006712	1.4816421158364022
ENSG00000006715	1.564205721376475
ENSG00000006740	2.351463076674044
ENSG00000006744	1.5740880379716138
ENSG00000006747	6.22861814144738
ENSG00000006756	1.8066955074187163
ENSG00000006757	1.670117334985021
ENSG00000006788	5.838585959313905
ENSG00000006831	1.954270400980198
ENSG00000006837	1.926256013031197
ENSG00000007001	11.332511519157633
ENSG00000007038	5.93695655333346
ENSG00000007047	1.7507955956743755
ENSG00000007062	5.0030300709638675
ENSG00000007080	1.6133728919010097
ENSG00000007129	4.914160111144383
ENSG00000007168	1.718088084462712
ENSG00000007171	6.207606904879675
ENSG00000007174	4.822817505204278
ENSG00000007202	1.4833508142797907
ENSG00000007216	3.814177497452659
ENSG00000007237	7.94882966437811
ENSG00000007255	2.0346286365658064
ENSG00000007264	3.154586748063773
ENSG00000007306	13.712381802171873
ENSG00000007312	9.872098991526142
ENSG00000007314	6.385382121927297
ENSG00000007341	1.6579658500378767
ENSG00000007350	13.155043649651057
ENSG00000007372	7.439274829728239
ENSG00000007376	1.5092023286136742
ENSG00000007384	2.23118347974344
ENSG00000007392	1.667899198091915
