Gene	CV	Exp_Sum
ENSG00000000003	1.26932742770045	349708.9516
ENSG00000000005	4.24452872301702	43833.7701
ENSG00000000419	0.405620997839612	1125337.5173
ENSG00000000457	0.403180016344882	123057.3257
ENSG00000000460	0.721123418138485	65728.8799
ENSG00000000938	4.66785372128753	1501161.0309
ENSG00000000971	1.88239285513413	1206672.7319
ENSG00000001036	0.646362210898102	630341.8063
ENSG00000001084	0.848203856266827	380998.2222
ENSG00000001167	0.51820166213148	401388.4316
ENSG00000001460	0.804517200980737	51537.1853
ENSG00000001461	1.14766966128589	251004.4674
ENSG00000001497	0.419504423767423	447649.7161
ENSG00000001561	0.911826033725465	303642.2996
ENSG00000001617	1.34919285490357	539641.7443
ENSG00000001626	5.23826945524677	115521.5948
ENSG00000001629	0.456915012808326	408607.1408
ENSG00000001630	1.05459630402619	231683.1078
ENSG00000001631	0.292119594311152	141088.0084
ENSG00000002016	0.528355955012373	184190.239
ENSG00000002330	0.584726547339631	579732.1292
ENSG00000002549	0.653178192110617	1172755.5994
ENSG00000002586	0.678925733417647	3040511.5858
ENSG00000002587	1.95169655631225	52101.9835
ENSG00000002726	5.14299645847679	160905.688
ENSG00000002745	3.16269541731791	18155.7906
ENSG00000002746	2.69861153402221	12134.0343
ENSG00000002822	1.37820240137046	38069.8022
ENSG00000002834	1.03417553981423	1504021.5729
ENSG00000002919	0.869812463892154	402771.9857
ENSG00000002933	2.38841466326336	1747212.1958
ENSG00000003056	0.514565745031266	1112206.1927
ENSG00000003096	1.34300838935499	60901.3637
ENSG00000003137	1.60268426578467	107365.6316
ENSG00000003147	1.00287489690614	273532.618
ENSG00000003249	1.72805737033702	226848.409
ENSG00000003393	1.22322099626106	209803.4283
ENSG00000003400	1.17352325154593	209305.4116
ENSG00000003402	1.08547252488806	548263.5295
ENSG00000003436	1.21775228551172	548668.5772
ENSG00000003509	0.50431710123365	286106.3331
ENSG00000003756	0.425286336399998	1246817.0966
ENSG00000003987	1.39650825337828	47014.4248
ENSG00000003989	2.2089275487616	529729.9753
ENSG00000004059	0.659535673153738	3362124.3965
ENSG00000004139	0.630853959545172	65265.3016
ENSG00000004142	0.915792179986127	2329647.4423
ENSG00000004399	0.769862256324985	864484.3253
ENSG00000004455	0.477464230134466	1060342.7192
ENSG00000004468	1.54955873248414	223471.6306
ENSG00000004478	1.29050097883047	1118377.7626
ENSG00000004487	0.350152128316776	1191971.3628
ENSG00000004534	0.468530119231491	1092578.0421
ENSG00000004660	1.19523815145755	236773.3938
ENSG00000004700	0.795226441062198	444035.6767
ENSG00000004766	0.405787285842144	168098.2616
ENSG00000004776	3.66010637791872	1492869.6448
ENSG00000004777	0.882351896436825	250024.9124
ENSG00000004779	1.16395089075078	1474768.2116
ENSG00000004799	4.34822722173276	4406174.9686
ENSG00000004809	3.41774113462141	17276.1596
ENSG00000004838	5.18347752390269	107367.6093
ENSG00000004846	2.95215811728793	8075.81
ENSG00000004848	4.22182631218535	41770.8402
ENSG00000004864	0.811577355620292	359964.1285
ENSG00000004866	0.570193121415356	210052.1396
ENSG00000004897	0.468161934309849	464935.0502
ENSG00000004939	6.36577911536487	789019.7892
ENSG00000004948	4.23980873940935	4995.197
ENSG00000004961	0.807017169164552	405615.8162
ENSG00000004975	0.323678144487182	541878.4034
ENSG00000005001	3.98640279524076	279400.459
ENSG00000005007	0.483657800639923	942636.4349
ENSG00000005020	1.46849618233225	425356.9708
ENSG00000005022	0.760624032193864	6551326.7484
ENSG00000005059	0.835826624696441	285136.9791
ENSG00000005073	2.60747315612913	132857.6969
ENSG00000005075	0.814828737693986	1204083.4659
ENSG00000005100	0.484209777969132	216342.5598
ENSG00000005102	1.95467131083462	113903.5544
ENSG00000005108	1.39928664570277	49793.4647
ENSG00000005156	0.434645098050319	296698.7651
ENSG00000005175	0.454011634980586	247518.9387
ENSG00000005187	2.56961004918929	104767.6574
ENSG00000005189	4.28621709926485	154641.1502
ENSG00000005194	0.449491998786946	713210.0381
ENSG00000005206	0.48914121332962	466305.2391
ENSG00000005238	1.36490586532343	282404.2271
ENSG00000005243	0.971948216575039	480566.9618
ENSG00000005249	1.9160631659089	396193.7286
ENSG00000005302	1.71805504419446	397309.8783
ENSG00000005339	0.5193298831515	598178.1349
ENSG00000005379	1.39596709534111	390633.6832
ENSG00000005381	7.37482737068807	1217987.4555
ENSG00000005421	8.59137447041382	104966.1361
ENSG00000005436	0.562178972070046	165891.2939
ENSG00000005448	0.821151742974375	427181.2218
ENSG00000005469	0.833351966341379	215718.2516
ENSG00000005471	4.23134697283179	43471.5999
ENSG00000005483	0.501959603824017	712443.6258
ENSG00000005486	0.956356127765141	1839344.7725
ENSG00000005513	2.44848847974653	442206.4141
ENSG00000005700	0.580199714070206	468150.2583
ENSG00000005801	0.517024043556904	219232.7083
ENSG00000005810	0.722318166896922	402116.745
ENSG00000005812	0.524297419639689	711100.9775
ENSG00000005844	3.21004530945928	517296.9699
ENSG00000005882	1.10571145749858	653824.4277
ENSG00000005884	1.31524676382286	1269225.794
ENSG00000005889	0.543788285784705	243052.937
ENSG00000005893	0.83321457637695	1592726.9262
ENSG00000005961	5.38072537114285	262885.789
ENSG00000005981	5.15854182039832	32474.96
ENSG00000006007	0.634358003385108	981431.6027
ENSG00000006015	0.632364653914358	1635106.5872
ENSG00000006016	2.93574384452893	483105.8622
ENSG00000006025	0.927349637030211	251999.9628
ENSG00000006042	1.09231428736364	356808.344
ENSG00000006047	6.46469748329614	303802.4767
ENSG00000006059	22.067132495061	47305.1832
ENSG00000006062	0.887270792219131	263755.2463
ENSG00000006071	2.88694991030379	78253.0126
ENSG00000006116	3.43832488161049	27128.1832
ENSG00000006118	1.65584689843069	434302.8948
ENSG00000006125	0.448073032078776	1399859.3067
ENSG00000006128	5.75770601264504	188398.958
ENSG00000006194	0.24307748071736	323847.8378
ENSG00000006210	1.86293219068233	448394.1383
ENSG00000006282	0.635717552068658	817256.2805
ENSG00000006283	2.88953125565059	22945.9952
ENSG00000006327	1.61050444710892	1311776.3484
ENSG00000006377	3.12262190269407	26721.7425
ENSG00000006432	1.29477124760893	71188.4498
ENSG00000006451	0.597811458184194	633225.6469
ENSG00000006453	1.41089316360336	354418.0834
ENSG00000006459	0.939558554503357	282842.9626
ENSG00000006468	2.58314701467138	147011.6381
ENSG00000006530	0.344516264080135	270210.9688
ENSG00000006534	1.63358757489745	452741.67
ENSG00000006555	2.68344128108244	162416.7825
ENSG00000006576	1.35384656224638	223043.6506
ENSG00000006606	3.18164516226613	35020.0282
ENSG00000006607	0.502232249035248	151796.9524
ENSG00000006611	3.67706808061273	132770.2499
ENSG00000006625	0.999168320874501	629090.4573
ENSG00000006634	0.981083288246357	146389.4754
ENSG00000006638	1.86578771046698	96107.8334
ENSG00000006652	1.37922390940367	298493.5067
ENSG00000006659	10.0902870332763	4345.4842
ENSG00000006695	0.988330542246594	261778.4695
ENSG00000006704	1.39275095941427	245916.978
ENSG00000006712	0.391827420623005	1350418.5307
ENSG00000006715	0.422465841163137	386873.5282
ENSG00000006740	1.26375807256712	135799.3801
ENSG00000006744	0.421819463532051	920876.5333
ENSG00000006747	2.40213723704488	64737.4157
ENSG00000006756	1.02082065146716	308084.9228
ENSG00000006757	0.926775510669133	216336.1756
ENSG00000006788	4.26156859428704	3058.48
ENSG00000006831	0.659779700086247	798605.7489
ENSG00000006837	1.50053990598087	23159.8421
ENSG00000007001	3.63194620638395	16296.4349
ENSG00000007038	4.48263988791098	72886.3646
ENSG00000007047	0.576993975893769	392345.1367
ENSG00000007062	2.40499269099318	154555.0539
ENSG00000007080	0.687948943086902	1875083.378
ENSG00000007129	3.3086017371125	102124.1028
ENSG00000007168	0.418345478421419	1164903.5178
ENSG00000007171	3.39504988178297	37911.4753
ENSG00000007174	2.97002684224347	11165.4986
ENSG00000007202	0.433520422653499	992352.0496
ENSG00000007216	9.53215700840723	54182.3138
ENSG00000007237	1.44400333005549	593188.1749
ENSG00000007255	0.647302457096574	937445.2673
ENSG00000007264	2.4668507252362	135653.8914
ENSG00000007306	8.39469751035864	286502.0364
ENSG00000007312	2.78011325562167	438521.8177
