Gene	TS	CV	Con
ENSG00000197885	-0.671091806790331	0.761389837510376	-0.459789912295486
ENSG00000197888	0.77738773848601	8.33937442829858	-0.694330212793145
ENSG00000197889	0.676558867543735	2.58764252303196	-0.82228469067167
ENSG00000197891	1.92873048386913	13.9257520744506	-0.806065108968758
ENSG00000197892	-0.49976030063053	0.927249838034229	-0.586457121784891
ENSG00000197893	1.27351232655445	13.7952378951685	-0.794479693466679
ENSG00000197894	0.0648033698502544	0.833553729685319	1.95255104891534
ENSG00000197901	2.30623160100169	11.8485579525372	-0.811729089880886
ENSG00000197903	0.199328309008507	1.65948705255034	1.96851317694043
ENSG00000197905	1.39934547325478	1.9418510090614	-0.410101352475455
ENSG00000197912	-0.411276381435519	1.19606713319242	1.78057199212891
ENSG00000197915	0.767273673448315	10.5979391147594	-0.798084044956215
ENSG00000197921	0.880967369553193	4.92616728355782	-0.832067930428982
ENSG00000197928	-0.317828270719492	1.01868672151909	-0.808897099424822
ENSG00000197930	-0.361433624652891	1.25542452064102	1.32410662134697
ENSG00000197933	-0.488981105819287	0.868391423167037	-0.792677517721911
ENSG00000197935	-0.332887352555124	1.54281706912158	-0.832840291462454
ENSG00000197937	-0.525861001475475	0.971884916569026	-0.819967607571254
ENSG00000197943	0.411391134551793	2.56017457667308	0.234820110473651
ENSG00000197948	0.317224884187387	1.23073306329339	0.275755245247666
ENSG00000197951	-0.573717719993663	0.745948168190025	-0.802718211157046
ENSG00000197953	1.76423358810542	6.62269091103688	-0.807094923680054
ENSG00000197956	0.379612807615274	1.68770368478383	1.83695434757237
ENSG00000197958	-0.435305464262806	0.860254155430712	2.16572269415361
ENSG00000197959	0.539882824308992	2.42828573696711	-0.746078402035768
ENSG00000197961	-0.555143520297087	1.44609774936306	0.1902806242101
ENSG00000197965	-0.740732920286247	0.966188346996648	1.14440395422582
ENSG00000197969	-0.310428941122297	0.965578478204038	-0.673991372245049
ENSG00000197971	1.47448255259053	5.62776087609232	0.630011505933483
ENSG00000197976	-0.576761819807782	0.944928641851378	0.991219015920547
ENSG00000197977	0.588985383481499	2.93881783814494	2.35701077677684
ENSG00000197978	-0.372986782228774	1.38371432075978	-0.82614649583903
ENSG00000197980	0.820464301722151	1.70099297141057	-0.831553023073334
ENSG00000197982	-0.700971321019046	1.50517756405345	0.325701258745521
ENSG00000197992	0.256117346055946	5.02391476601237	-0.814046172981302
ENSG00000197993	0.49459582621405	3.82067499776773	-0.794737147144503
ENSG00000198000	-1.19015744178823	0.674162920797571	0.775987741259688
