Gene	geo_Z	gtex_Z	tcga_Z	geo_row_sums	gtex_row_sums	tcga_row_sums	geo_percentile	gtex_percentile	tcga_percentile	z_mean	percentile_mean
ENSG00000000003	0.331880147013297	0.120144967117602	0.791727706669867	4527	5026	11050	36.5257382604486	28.9149695086872	50.1839320586766	0.331880147013297	36.5257382604486
ENSG00000000005	-0.683774612002361	-0.683611430324296	-0.758749856239663	582	402	194	4.69582055833468	2.31273731446324	0.881057268722467	-0.683774612002361	4.69582055833468
ENSG00000000419	0.179725023419316	2.21749027238013	2.34334784700232	3936	17092	21914	31.757301920284	98.3316074099643	99.5231391071348	0.179725023419316	31.757301920284
ENSG00000000457	-0.812243997236534	-0.752966707698716	-0.766462253844408	83	3	140	0.669678876875908	0.0172592336900242	0.635814523820337	-0.812243997236534	0.669678876875908
ENSG00000000460	-0.748652938814008	-0.748794961691232	-0.738897573516337	330	27	333	2.66257866709698	0.155333103210217	1.5123302602298	-0.748652938814008	2.66257866709698
ENSG00000000938	0.615594099975339	-0.258614805811874	0.0659053987566183	5629	2847	5968	45.4171373245119	16.3790127718329	27.1038648439984	0.615594099975339	45.4171373245119
ENSG00000000971	0.123600121653686	0.89261326950337	0.307560523705303	3718	9470	7660	29.9983863159593	54.4816476815096	34.7881375175984	0.123600121653686	29.9983863159593
ENSG00000001036	1.43429679545564	1.23087234161019	1.68222398566221	8809	11416	17285	71.0747135710828	65.6771372684386	78.5003860302466	1.43429679545564	71.0747135710828
ENSG00000001084	0.364834217774768	0.186892903237344	-0.191317343579423	4655	5410	4167	37.5584960464741	31.1241514210102	18.924565148281	0.364834217774768	37.5584960464741
ENSG00000001167	0.825418847401894	0.0061172429130418	1.36573003951193	6444	4370	15069	51.9928997902211	25.1409504084685	68.4363504246333	0.825418847401894	51.9928997902211
ENSG00000001460	-0.819967607571254	-0.752271416697468	-0.782601159943227	53	7	27	0.427626270776182	0.040271545276723	0.122621372451065	-0.819967607571254	0.427626270776182
ENSG00000001461	-0.542947450232636	-0.34761205397153	-0.188603722199976	1129	2335	4186	9.10924640955301	13.4334368887355	19.0108542622281	-0.542947450232636	9.10924640955301
ENSG00000001497	-0.486050187433533	1.00281689320107	-0.574794891148702	1350	10104	1482	10.8923672744877	58.1290990680014	6.73055088786957	-0.486050187433533	10.8923672744877
ENSG00000001561	-0.465968800563262	-0.166662570896916	0.259857916298175	1428	3376	7326	11.5217040503469	19.4223909791739	33.2712657250556	-0.465968800563262	11.5217040503469
ENSG00000001617	-0.623015544035898	0.370449727566635	0.581207816495895	818	6466	9576	6.59996772631919	37.1994016798987	43.4897134293111	-0.623015544035898	6.59996772631919
ENSG00000001626	-0.766159788906039	-0.635114882987296	-0.538518057970826	262	681	1736	2.11392609327094	3.91784604763548	7.88410009537218	-0.766159788906039	2.11392609327094
ENSG00000001629	-0.46133463436243	0.865496920454725	1.08608421525098	1446	9314	13111	11.6669356140068	53.5841675296283	59.5440301557746	-0.46133463436243	11.6669356140068
ENSG00000001630	0.563331003377068	-0.348654990473401	-0.77460311798275	5426	2329	83	43.7792480232371	13.3989184213554	0.3769471819792	0.563331003377068	43.7792480232371
ENSG00000001631	-0.501754861780797	-0.753314353199339	-0.782458337765361	1289	1	28	10.4001936420849	0.00575307789667472	0.127162904764067	-0.501754861780797	10.4001936420849
ENSG00000002016	-0.820739968604726	-0.6307693142295	-0.615784856196144	50	706	1195	0.403421010166209	4.06167299505235	5.42713111403788	-0.820739968604726	0.403421010166209
ENSG00000002330	1.04013521470711	1.31830518501704	-0.0863430428481679	7278	11919	4902	58.7219622397934	68.570935450466	22.2625913983378	1.04013521470711	58.7219622397934
ENSG00000002549	1.93890600399067	2.2082776666136	2.25565502979281	10769	17039	21300	86.8888171695982	98.0266942814406	96.7346382669513	1.93890600399067	86.8888171695982
ENSG00000002586	2.08900149816206	2.1185851274527	2.16967607871769	11352	16523	20698	91.5927061481362	95.0581060867564	94.0006358145238	2.08900149816206	91.5927061481362
ENSG00000002587	-0.823829412738614	-0.666402978043425	-0.66848623982857	38	501	826	0.306599967726319	2.88229202623404	3.75130569053999	-0.823829412738614	0.306599967726319
ENSG00000002726	-0.771823769818167	-0.615125266701435	-0.234021174761253	240	796	3868	1.93642084879781	4.57945000575308	17.5666469866933	-0.771823769818167	1.93642084879781
ENSG00000002745	-0.808639645746998	-0.731238863909737	-0.764605565532155	97	128	153	0.782636759722446	0.736393970774364	0.694854443889368	-0.808639645746998	0.782636759722446
ENSG00000002746	-0.828978486295094	-0.753488175949651	-0.780173182919511	18	0	44	0.145231563659835	0	0.199827421772106	-0.828978486295094	0.145231563659835
ENSG00000002822	1.3104615764223	-0.747578202439049	-0.783172448654689	8328	34	23	67.1938034532838	0.195604648486941	0.104455243199055	1.3104615764223	67.1938034532838
ENSG00000002834	1.7911275929197	2.16447433353502	2.30749948035804	10195	16787	21663	82.2575439728901	96.5769186514785	98.3832144965711	1.7911275929197	82.2575439728901
ENSG00000002919	0.67686807529745	-0.0684527169707329	0.145742996183518	5867	3941	6527	47.337421332903	22.6728799907951	29.6425814069667	0.67686807529745	47.337421332903
ENSG00000002933	0.296094085795762	1.17333701125697	0.491087022262668	4388	11085	8945	35.4042278521865	63.7728684846393	40.6240065398065	0.296094085795762	35.4042278521865
ENSG00000003056	2.12993663293607	2.19245979633523	2.16967607871769	11511	16948	20698	92.8755849604647	97.5031641928432	94.0006358145238	2.12993663293607	92.8755849604647
