"Percentile"	"GEO.CV.Value"	"GTEX.CV.Value"	"TCGA.CV.Value"
0	0.515557892104804	0.20818828058242	0.291709063654584
5	0.750882616555547	0.391359808754985	0.508627765236366
10	0.840496070322958	0.447989640714542	0.568257882292073
15	0.918019076990725	0.499261581074511	0.626428299680154
20	0.999899855663046	0.555967043591196	0.67740437337792
25	1.09207387195367	0.614407436451677	0.732186366791375
30	1.19006181003583	0.685443198367462	0.796857245037509
35	1.30261774177891	0.773015585600122	0.875102911489991
40	1.43809632939781	0.871416522385223	0.966857816053682
45	1.60315018490726	1.00068148122024	1.08242194927866
50	1.80367543086904	1.15694059364926	1.22818609334725
55	2.03891517429113	1.33819134742703	1.40753609277128
60	2.3273472724312	1.5526595983716	1.64556758894262
65	2.64530980881562	1.8082485169623	1.93786837170931
70	3.07995107579754	2.09740337650933	2.31892833000015
75	3.71524176323193	2.4555702781278	2.80891494539592
80	4.5895735935752	2.8997416032593	3.50253909111152
85	5.88262386309284	3.54038631400234	4.40749537494466
90	8.43375328601698	4.61101823163168	5.99801111661441
95	14.942290767672	6.76325093431698	9.40329776669986
100	94.0632924087726	129.052614364991	134.559724443498
